time,symbol,id,side,qty,filled,price,type,status,status_msg
2017-12-23T05:28:00,Symbol.XBTUSD,bitme_959,sell,-1461.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:28:00,Symbol.XBTUSD,bitme_960,sell,-730.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:29:00,Symbol.XBTUSD,bitme_961,sell,-165.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:29:00,Symbol.XBTUSD,bitme_962,sell,-5.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:29:00,Symbol.XBTUSD,bitme_963,sell,-10.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:29:00,Symbol.XBTUSD,bitme_964,sell,-69.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:29:00,Symbol.XBTUSD,bitme_965,sell,-69.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:29:00,Symbol.XBTUSD,bitme_966,sell,-69.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:30:00,Symbol.XBTUSD,bitme_967,sell,-1.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:30:00,Symbol.XBTUSD,bitme_968,sell,-3.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:30:00,Symbol.XBTUSD,bitme_969,sell,-26.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:30:00,Symbol.XBTUSD,bitme_970,sell,-26.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:30:00,Symbol.XBTUSD,bitme_971,sell,-26.0,0.0,14599.2,limit,canceled,liquidation
2017-12-23T05:35:00,Symbol.XBTUSD,bitme_972,buy,2842.0,2842.0,14211.5,limit,filled,
2017-12-23T05:36:00,Symbol.XBTUSD,bitme_973,sell,-2842.0,0.0,14459.7,limit,canceled,liquidation
2017-12-23T05:36:00,Symbol.XBTUSD,bitme_974,buy,2847.0,2847.0,14239.0,limit,filled,
2017-12-23T05:37:00,Symbol.XBTUSD,bitme_975,sell,-2847.0,0.0,14444.0,limit,canceled,liquidation
2017-12-23T05:40:00,Symbol.XBTUSD,bitme_976,buy,2835.0,2835.0,14176.5,limit,filled,
2017-12-23T05:41:00,Symbol.XBTUSD,bitme_977,sell,-1418.0,0.0,14406.8,limit,canceled,liquidation
2017-12-23T05:41:00,Symbol.XBTUSD,bitme_978,buy,2830.0,2830.0,14150.0,limit,filled,
2017-12-23T05:42:00,Symbol.XBTUSD,bitme_979,sell,-89.0,0.0,14397.7,limit,canceled,liquidation
2017-12-23T05:42:00,Symbol.XBTUSD,bitme_980,sell,-1417.0,0.0,14397.7,limit,canceled,liquidation
2017-12-23T05:42:00,Symbol.XBTUSD,bitme_981,sell,-2830.0,0.0,14397.7,limit,canceled,liquidation
2017-12-23T05:42:00,Symbol.XBTUSD,bitme_982,sell,-179.0,0.0,14397.7,limit,canceled,liquidation
2017-12-23T05:42:00,Symbol.XBTUSD,bitme_983,sell,-1427.0,0.0,14397.7,limit,canceled,liquidation
2017-12-23T05:42:00,Symbol.XBTUSD,bitme_984,sell,-179.0,0.0,14397.7,limit,canceled,liquidation
2017-12-23T05:42:00,Symbol.XBTUSD,bitme_985,sell,-357.0,0.0,14397.7,limit,canceled,liquidation
2017-12-23T05:42:00,Symbol.XBTUSD,bitme_986,sell,-90.0,0.0,14397.7,limit,canceled,liquidation
2017-12-23T05:42:00,Symbol.XBTUSD,bitme_987,sell,-74557.0,-74557.0,nan,market,filled,liquidation
2017-12-23T05:43:00,Symbol.XBTUSD,bitme_988,buy,2827.0,2827.0,14135.0,limit,filled,
2017-12-23T05:44:00,Symbol.XBTUSD,bitme_989,sell,-1414.0,0.0,14382.5,limit,canceled,liquidation
2017-12-23T05:44:00,Symbol.XBTUSD,bitme_990,buy,2822.0,2822.0,14110.0,limit,filled,
2017-12-23T05:45:00,Symbol.XBTUSD,bitme_991,sell,-2822.0,0.0,14375.2,limit,canceled,liquidation
2017-12-23T05:45:00,Symbol.XBTUSD,bitme_992,sell,-707.0,0.0,14375.2,limit,canceled,liquidation
2017-12-23T05:46:00,Symbol.XBTUSD,bitme_993,sell,-386.0,0.0,14375.2,limit,canceled,liquidation
2017-12-23T05:47:00,Symbol.XBTUSD,bitme_994,sell,-320.0,0.0,14375.2,limit,canceled,liquidation
2017-12-23T05:48:00,Symbol.XBTUSD,bitme_995,buy,2809.0,2795.0,14045.0,limit,canceled,liquidation
2017-12-23T05:49:00,Symbol.XBTUSD,bitme_996,sell,-2795.0,0.0,14331.4,limit,canceled,liquidation
2017-12-23T05:49:00,Symbol.XBTUSD,bitme_997,buy,2788.0,2788.0,13942.0,limit,filled,
2017-12-23T05:50:00,Symbol.XBTUSD,bitme_998,sell,-2788.0,0.0,14313.1,limit,canceled,liquidation
2017-12-23T05:50:00,Symbol.XBTUSD,bitme_999,buy,2800.0,2716.0,14000.0,limit,canceled,liquidation
2017-12-23T05:51:00,Symbol.XBTUSD,bitme_1000,sell,-2716.0,0.0,14290.8,limit,canceled,liquidation
2017-12-23T05:51:00,Symbol.XBTUSD,bitme_1001,buy,2798.0,2783.0,13990.0,limit,canceled,liquidation
