time,symbol,id,side,qty,filled,price,type,status,status_msg
2018-01-29T00:11:00,Symbol.XBTUSD,bitme_0,sell,-34932,-34932.0,11644.0,limit,filled,
2018-01-29T00:12:00,Symbol.XBTUSD,bitme_1,buy,34932,0.0,11629.5,limit,canceled,liquidation
2018-01-29T00:24:00,Symbol.XBTUSD,bitme_2,buy,34932,34932.0,nan,market,filled,liquidation
2018-01-29T00:26:00,Symbol.XBTUSD,bitme_3,sell,-35256,-35256.0,11752.0,limit,filled,
2018-01-29T00:27:00,Symbol.XBTUSD,bitme_4,buy,35256,35256.0,11726.5,limit,filled,
2018-01-29T00:37:00,Symbol.XBTUSD,bitme_5,buy,35124,35124.0,11708.0,limit,filled,
2018-01-29T00:38:00,Symbol.XBTUSD,bitme_6,sell,-35124,0.0,11735.3,limit,canceled,liquidation
2018-01-29T01:17:00,Symbol.XBTUSD,bitme_7,sell,-35124,-35124.0,nan,market,filled,liquidation
2018-01-29T01:17:00,Symbol.XBTUSD,bitme_8,buy,34800,34800.0,11600.0,limit,filled,
2018-01-29T01:18:00,Symbol.XBTUSD,bitme_9,sell,-34800,0.0,11644.7,limit,canceled,liquidation
2018-01-29T01:21:00,Symbol.XBTUSD,bitme_10,sell,-34800,-34800.0,nan,market,filled,liquidation
2018-01-29T01:24:00,Symbol.XBTUSD,bitme_11,buy,34506,34506.0,11502.0,limit,filled,
2018-01-29T01:25:00,Symbol.XBTUSD,bitme_12,sell,-34506,0.0,11546.1,limit,canceled,liquidation
2018-01-29T01:27:00,Symbol.XBTUSD,bitme_13,sell,-34506,-34506.0,nan,market,filled,liquidation
2018-01-29T01:34:00,Symbol.XBTUSD,bitme_14,buy,34054,34054.0,11351.5,limit,filled,
2018-01-29T01:35:00,Symbol.XBTUSD,bitme_15,sell,-34054,-34054.0,11393.1,limit,filled,
2018-01-29T01:39:00,Symbol.XBTUSD,bitme_16,buy,34032,34032.0,11344.0,limit,filled,
2018-01-29T01:40:00,Symbol.XBTUSD,bitme_17,sell,-34032,0.0,11382.7,limit,canceled,liquidation
2018-01-29T01:41:00,Symbol.XBTUSD,bitme_18,sell,-34032,-34032.0,nan,market,filled,liquidation
2018-01-29T01:41:00,Symbol.XBTUSD,bitme_19,buy,33660,33660.0,11220.0,limit,filled,
2018-01-29T01:42:00,Symbol.XBTUSD,bitme_20,sell,-33660,-33660.0,11367.0,limit,filled,
2018-01-29T01:48:00,Symbol.XBTUSD,bitme_21,sell,-34117,-34117.0,11372.5,limit,filled,
2018-01-29T01:49:00,Symbol.XBTUSD,bitme_22,buy,34117,34117.0,11312.8,limit,filled,
