time,symbol,order_id,side,qty,price,order_type,type
2018-01-29T00:12:00,XBTUSD,bitme_0,sell,-34932,11644.00,limit,complete
2018-01-29T00:24:00,XBTUSD,bitme_2,buy,34932,11740.44,market,complete
2018-01-29T00:27:00,XBTUSD,bitme_3,sell,-35256,11752.00,limit,complete
2018-01-29T00:34:00,XBTUSD,bitme_4,buy,17628,11726.50,limit,partial
2018-01-29T00:36:00,XBTUSD,bitme_4,buy,8814,11726.50,limit,partial
2018-01-29T00:37:00,XBTUSD,bitme_4,buy,8814,11726.50,limit,complete
2018-01-29T00:38:00,XBTUSD,bitme_5,buy,35124,11708.00,limit,complete
2018-01-29T01:17:00,XBTUSD,bitme_7,sell,-35124,11612.75,market,complete
2018-01-29T01:18:00,XBTUSD,bitme_8,buy,34800,11600.00,limit,complete
2018-01-29T01:21:00,XBTUSD,bitme_10,sell,-34800,11501.12,market,complete
2018-01-29T01:25:00,XBTUSD,bitme_11,buy,34506,11502.00,limit,complete
2018-01-29T01:27:00,XBTUSD,bitme_13,sell,-34506,11368.00,market,complete
2018-01-29T01:35:00,XBTUSD,bitme_14,buy,34054,11351.50,limit,complete
2018-01-29T01:37:00,XBTUSD,bitme_15,sell,-34054,11393.10,limit,complete
2018-01-29T01:40:00,XBTUSD,bitme_16,buy,34032,11344.00,limit,complete
2018-01-29T01:41:00,XBTUSD,bitme_18,sell,-34032,11237.62,market,complete
2018-01-29T01:42:00,XBTUSD,bitme_19,buy,33660,11220.00,limit,complete
2018-01-29T01:48:00,XBTUSD,bitme_20,sell,-33660,11367.00,limit,complete
2018-01-29T01:49:00,XBTUSD,bitme_21,sell,-34117,11372.50,limit,complete
2018-01-29T01:52:00,XBTUSD,bitme_22,buy,17059,11312.80,limit,partial
2018-01-29T01:56:00,XBTUSD,bitme_22,buy,17058,11312.80,limit,complete
2018-01-29T01:57:00,XBTUSD,bitme_23,buy,33918,11306.00,limit,complete
2018-01-29T02:03:00,XBTUSD,bitme_25,sell,-33918,11211.44,market,complete
2018-01-29T02:13:00,XBTUSD,bitme_26,sell,-33798,11266.00,limit,complete
2018-01-29T02:18:00,XBTUSD,bitme_28,buy,33798,11354.81,market,complete
2018-01-29T02:27:00,XBTUSD,bitme_29,buy,33694,11231.50,limit,complete
2018-01-29T02:39:00,XBTUSD,bitme_30,sell,-33694,11329.40,limit,complete
2018-01-29T02:40:00,XBTUSD,bitme_31,sell,-34000,11333.50,limit,complete
2018-01-29T02:47:00,XBTUSD,bitme_32,buy,34000,11292.70,limit,complete
2018-01-29T02:48:00,XBTUSD,bitme_33,buy,33825,11275.00,limit,complete
2018-01-29T02:51:00,XBTUSD,bitme_34,sell,-33825,11306.30,limit,complete
2018-01-29T02:54:00,XBTUSD,bitme_35,sell,-33996,11332.00,limit,complete
2018-01-29T03:08:00,XBTUSD,bitme_36,buy,33996,11291.60,limit,complete
2018-01-29T03:09:00,XBTUSD,bitme_37,buy,33846,11282.00,limit,complete
2018-01-29T03:50:00,XBTUSD,bitme_38,sell,-16923,11322.30,limit,partial
2018-01-29T03:58:00,XBTUSD,bitme_38,sell,-16923,11322.30,limit,complete
2018-01-29T03:59:00,XBTUSD,bitme_39,sell,-33978,11326.00,limit,complete
2018-01-29T04:44:00,XBTUSD,bitme_41,buy,33978,11415.12,market,complete
2018-01-29T04:48:00,XBTUSD,bitme_42,sell,-34306,11435.50,limit,complete
2018-01-29T04:51:00,XBTUSD,bitme_43,buy,34306,11412.80,limit,complete
2018-01-29T04:54:00,XBTUSD,bitme_44,buy,34170,11390.00,limit,complete
2018-01-29T06:11:00,XBTUSD,bitme_46,sell,-34170,11299.56,market,complete
2018-01-29T06:13:00,XBTUSD,bitme_47,buy,33772,11257.50,limit,complete
2018-01-29T06:17:00,XBTUSD,bitme_49,sell,-33772,11156.06,market,complete
2018-01-29T06:26:00,XBTUSD,bitme_50,buy,33604,11201.50,limit,complete
2018-01-29T06:30:00,XBTUSD,bitme_51,sell,-33604,11231.10,limit,complete
2018-01-29T06:31:00,XBTUSD,bitme_52,sell,-33780,11260.00,limit,complete
2018-01-29T06:32:00,XBTUSD,bitme_53,buy,33780,11201.50,limit,complete
2018-01-29T06:39:00,XBTUSD,bitme_54,buy,33555,11185.00,limit,complete
2018-01-29T07:42:00,XBTUSD,bitme_56,sell,-33555,11089.50,market,complete
2018-01-29T07:43:00,XBTUSD,bitme_57,buy,33210,11070.00,limit,complete
2018-01-29T07:46:00,XBTUSD,bitme_58,sell,-33210,11120.10,limit,complete
2018-01-29T07:51:00,XBTUSD,bitme_59,sell,-33387,11129.00,limit,complete
