time,open,high,low,close,volume
2017-12-12T00:01:00,17009.0,17020.5,16991.5,16993.0,1389690.0
2017-12-12T00:02:00,16993.0,17000.0,16992.5,17000.0,721822.0
2017-12-12T00:03:00,17000.0,17000.0,16965.0,16966.0,1709835.0
2017-12-12T00:04:00,16966.0,16966.0,16900.0,16922.0,2049385.0
2017-12-12T00:05:00,16922.0,16936.5,16885.0,16899.0,2103614.0
2017-12-12T00:06:00,16899.0,16938.5,16880.0,16920.0,1606364.0
2017-12-12T00:07:00,16920.0,16965.0,16919.5,16927.5,1316174.0
2017-12-12T00:08:00,16927.5,16940.0,16892.0,16892.5,1089966.0
2017-12-12T00:09:00,16892.5,16893.0,16869.0,16869.0,2038573.0
2017-12-12T00:10:00,16869.0,16870.5,16860.0,16870.0,2850842.0
2017-12-12T00:11:00,16870.0,16870.5,16864.5,16870.5,3321335.0
2017-12-12T00:12:00,16870.5,16870.5,16831.0,16831.0,1856078.0
2017-12-12T00:13:00,16831.0,16896.0,16825.0,16875.0,1270251.0
2017-12-12T00:14:00,16875.0,16902.5,16875.0,16896.5,1487406.0
2017-12-12T00:15:00,16896.5,16903.0,16822.5,16822.5,4606458.0
2017-12-12T00:16:00,16822.5,16850.0,16801.0,16811.0,2218031.0
2017-12-12T00:17:00,16811.0,16814.5,16750.0,16770.0,3234207.0
2017-12-12T00:18:00,16770.0,16798.0,16736.5,16790.0,3354008.0
2017-12-12T00:19:00,16790.0,16798.0,16669.0,16703.0,4668397.0
2017-12-12T00:20:00,16703.0,16778.0,16702.5,16720.0,1888430.0
2017-12-12T00:21:00,16720.0,16785.0,16720.0,16779.0,2175228.0
2017-12-12T00:22:00,16779.0,16779.5,16710.5,16758.5,2183927.0
2017-12-12T00:23:00,16758.5,16758.5,16709.0,16710.0,743530.0
2017-12-12T00:24:00,16710.0,16761.0,16705.5,16761.0,2090714.0
2017-12-12T00:25:00,16761.0,16805.0,16760.5,16805.0,2869823.0
2017-12-12T00:26:00,16805.0,16831.5,16780.0,16798.0,2611509.0
2017-12-12T00:27:00,16798.0,16798.5,16711.0,16757.0,2032632.0
2017-12-12T00:28:00,16757.0,16759.0,16737.5,16749.5,1069088.0
2017-12-12T00:29:00,16749.5,16804.5,16749.0,16804.5,2078018.0
2017-12-12T00:30:00,16804.5,16839.5,16803.5,16837.0,1146377.0
2017-12-12T00:31:00,16837.0,16839.5,16815.0,16825.0,937173.0
2017-12-12T00:32:00,16825.0,16900.0,16825.0,16900.0,2180549.0
