time,low,high,open,close,volume
2017-06-20T18:34:00,349.05,350.46,349.5,350.35,754.17790015
2017-06-20T18:35:00,349.56,350.36,350.35,350.05,428.72455076
2017-06-20T18:36:00,350,350.34,350.04,350.3,557.16176745
2017-06-20T18:37:00,350.29,353,350.3,353,718.97657848
2017-06-20T18:38:00,353,355,353,354.62,555.6155968
2017-06-20T18:39:00,354.7,358.39,354.99,356.47,777.2807689
2017-06-20T18:40:00,354.11,357,356.48,354.11,512.91108614
2017-06-20T18:41:00,351.22,355.86,354.3,351.32,1007.27961011
2017-06-20T18:42:00,350.5,353,351.96,350.5,726.54899896
2017-06-20T18:43:00,345.3,350.89,350.71,348.96,1060.78944494
2017-06-20T18:44:00,345.18,349.9,348.96,348.04,1331.61478535
2017-06-20T18:45:00,346,349,348.05,348.83,624.43488909
2017-06-20T18:46:00,348.07,348.83,348.83,348.08,312.78132094
2017-06-20T18:47:00,348.1,349.75,348.11,348.16,634.29527145
2017-06-20T18:48:00,348.1,349.96,348.24,348.1,353.17998268
2017-06-20T18:49:00,345.73,349.74,348.1,346.06,427.22579118
2017-06-20T18:50:00,346.06,347.46,347.41,346.76,172.90911694
2017-06-20T18:51:00,346.01,347.21,346.75,347,150.42501245
2017-06-20T18:52:00,345.11,346.64,346.25,345.97,369.94606643
2017-06-20T18:53:00,345.1,346,345.89,345.1,218.00977706
2017-06-20T18:54:00,345,346.35,345.23,345,312.62745456
2017-06-20T18:55:00,341.76,345.11,345.1,342.77,450.76877879
2017-06-20T18:56:00,342.77,344.94,342.77,343.03,284.93982341
2017-06-20T18:57:00,342.55,344.36,344.1,342.56,342.96940975
2017-06-20T18:58:00,341.23,342.98,342.56,341.23,257.10339731
2017-06-20T18:59:00,341.11,342.89,342.87,341.11,283.35577426
2017-06-20T19:00:00,341.1,342.46,341.12,341.18,497.44945594
2017-06-20T19:01:00,341.67,347.53,342.43,347.53,858.67695592
2017-06-20T19:02:00,347.51,352.99,347.52,350.92,695.89824701
2017-06-20T19:03:00,350.21,352.99,351.98,350.32,326.31064471
2017-06-20T19:04:00,350.35,351.59,351.56,350.94,282.39972572
2017-06-20T19:05:00,350.01,350.9,350.8,350.14,398.79469842
2017-06-20T19:06:00,350,350.14,350.14,350,526.98910403
2017-06-20T19:07:00,350,350.13,350.02,350.03,214.53838023
2017-06-20T19:08:00,349.72,350.03,350.02,349.72,381.74808823
2017-06-20T19:09:00,345,349.99,349.99,347.05,552.59033083
2017-06-20T19:10:00,346,348,346.5,348,172.68126723
2017-06-20T19:11:00,347.41,349.99,348,349.99,285.68146676
2017-06-20T19:12:00,349.5,350.41,349.5,349.75,327.59101454
2017-06-20T19:13:00,349.9,351,349.91,350.4,350.17972094
2017-06-20T19:14:00,350.02,350.99,350.38,350.96,159.3932136
2017-06-20T19:15:00,350.1,351.84,350.96,351.24,408.3597128
2017-06-20T19:16:00,351.63,353,351.8,353,370.39489627
2017-06-20T19:17:00,352.6,354,352.6,354,268.15352927
2017-06-20T19:18:00,353.99,354.88,353.99,354.87,271.14398892
2017-06-20T19:19:00,353.99,354.95,354.84,354.1,244.80151483
2017-06-20T19:20:00,350,354.04,353.99,350.05,257.31890508
