time,low,high,open,close,volume
2017-05-23T02:44:00,167.72,168,167.73,167.99,83.372904
2017-05-23T02:45:00,167.66,168,167.77,167.97,107.4342454
2017-05-23T02:46:00,167.89,168,167.89,168,70.9717
2017-05-23T02:47:00,167.25,168,167.92,167.55,119.0755
2017-05-23T02:48:00,167.5,167.99,167.66,167.99,126.3701
2017-05-23T02:49:00,166.87,167.99,167.71,166.87,185.36306896
2017-05-23T02:50:00,166.21,167.03,166.87,166.21,119.3793916
2017-05-23T02:51:00,166.21,167.79,166.32,166.81,136.4904451
2017-05-23T02:52:00,166.24,167.49,166.8,166.24,152.8776147
2017-05-23T02:53:00,166,166.27,166.25,166,395.93305786
2017-05-23T02:54:00,165.97,166,165.99,166,17.34672254
2017-05-23T02:55:00,165.41,167.3,166.01,166.06,92.81458
2017-05-23T02:56:00,166.06,166.53,166.06,166.35,11.81838611
2017-05-23T02:57:00,166.19,166.53,166.21,166.19,54.577951
2017-05-23T02:58:00,166.21,166.73,166.25,166.4,37.03899857
2017-05-23T02:59:00,166.26,166.59,166.39,166.27,26.86161021
2017-05-23T03:00:00,166.21,166.27,166.26,166.25,30.549597
2017-05-23T03:01:00,166.24,166.27,166.24,166.27,92.2767
2017-05-23T03:02:00,166.13,167.25,166.24,166.13,104.858863
2017-05-23T03:03:00,166.12,167.07,166.12,166.49,41.73300679
2017-05-23T03:04:00,166.21,167.23,166.36,166.21,73.55755487
2017-05-23T03:05:00,166.21,167.1,166.21,166.75,69.7824055
2017-05-23T03:06:00,166.64,166.69,166.64,166.69,64.343
2017-05-23T03:07:00,166.63,167.1,166.63,166.73,14.009195
2017-05-23T03:08:00,166,166.94,166.71,166,229.5598
2017-05-23T03:09:00,166.55,167.48,166.55,166.81,79.18682171
2017-05-23T03:10:00,166.74,167.22,166.74,166.98,20.1547
2017-05-23T03:11:00,166.56,167.5,166.83,167.5,162.80996393
2017-05-23T03:12:00,166.51,166.97,166.97,166.51,49.53078941
2017-05-23T03:13:00,166.68,166.83,166.68,166.83,197.6406
2017-05-23T03:14:00,166.51,166.83,166.82,166.83,38.0091
2017-05-23T03:15:00,166.55,166.83,166.55,166.77,94.77499985
2017-05-23T03:16:00,166.72,167.5,166.72,166.84,144.479613
2017-05-23T03:17:00,166.78,166.82,166.82,166.82,45.4031
2017-05-23T03:18:00,166.82,167.49,166.82,167.47,78.47222961
2017-05-23T03:19:00,166.82,167.48,167.13,167.48,24.726265
2017-05-23T03:20:00,166.91,167.26,167.26,166.91,47.87961977
2017-05-23T03:21:00,167.07,167.5,167.14,167.11,77.40951923
2017-05-23T03:22:00,166.81,167.42,167.11,166.81,293.74124949
2017-05-23T03:23:00,166.21,166.72,166.7,166.21,159.17931645
2017-05-23T03:24:00,166.51,167.08,166.51,167.08,82.8784374
